profile_id,user_id,programme,university,gpa,expected_graduation,year_of_study,internship_count,project_count,certification_count,target_role,career_interests,is_complete,created_at,updated_at
bd9c66b3-ad3c-2d6d-1a3d-1fa7bc8960a9,23b8c1e9-3924-56de-3eb1-3b9046685257,Bachelor of Computer Science (Artificial Intelligence),Swinburne University of Technology (INTI International College Subang),3.63,June 2028,2,0,3,0,Data Scientist,"{""Machine Learning"",""Data Science"",""Artificial Intelligence""}",True,2026-07-13 05:09:00,2026-07-13 05:09:00
c754108f-f418-8f3f-8a14-be62295b4715,c333e861-5fb8-d16c-2720-797d32ebd689,Bachelor of Information Technology (Network Security),Swinburne University of Technology (INTI International College Subang),3.22,June 2028,2,0,2,1,Cybersecurity Analyst,"{""Network Security""}",True,2026-07-02 05:26:00,2026-07-02 05:26:00
27a0c3d7-7c96-7f79-b7e9-9acaa97065e1,8e46d534-c88a-618e-fed4-057dbb026576,Bachelor of Information Technology (Business Analytics),Swinburne University of Technology (INTI International College Subang),3.07,December 2029,1,0,1,2,Data Analyst,"{""Business Intelligence""}",True,2026-09-14 03:30:00,2026-09-14 03:30:00
cf8ebc5a-ccc5-6569-f9e8-a3692999b735,dd56cc94-3c9a-d14c-ee0c-aeb5ecfedb99,Bachelor of Computer Science (Cloud Computing),Swinburne University of Technology (INTI International College Subang),2.51,December 2027,3,1,3,0,Cloud Engineer,"{""Cloud Computing""}",True,2026-07-23 20:20:00,2026-07-23 20:20:00
31c681ec-935f-2b0a-a138-4ddce2d9de5d,6a18ce4c-7496-2764-12a4-def0c4bbb7a9,Bachelor of Information Technology (Network Security),Swinburne University of Technology (INTI International College Subang),3.41,June 2027,3,0,3,0,Cloud Engineer,"{""Cloud Computing""}",True,2026-07-20 07:23:00,2026-07-20 07:23:00
6bebac31-d4f8-fd72-f382-1cfdc083b73a,473bd358-610e-6a64-e130-1617c2dff335,Bachelor of Software Engineering,Swinburne University of Technology (INTI International College Subang),2.89,December 2029,1,0,1,1,Software Developer,"{""Backend Development"",""Mobile Development"",""Software Engineering""}",True,2026-07-04 03:24:00,2026-07-04 03:24:00
e14eb70d-b380-c73a-989d-9d4ae15ca666,4797b2c9-5720-7246-4223-623bcc3ebdde,Bachelor of Computer Science (Software Development),Swinburne University of Technology (INTI International College Subang),2.95,December 2028,2,0,3,1,Software Developer,"{""Software Engineering"",""Backend Development"",""Mobile Development""}",True,2026-07-25 11:55:00,2026-07-25 11:55:00
b04d3376-77fc-9703-1fd5-a423706c5c56,49e2623d-ebd3-4616-91b7-8d8ed3016989,Bachelor of Computer Science (Cybersecurity),Swinburne University of Technology (INTI International College Subang),2.49,June 2027,3,0,1,0,Cybersecurity Analyst,"{""Cybersecurity"",""Network Security"",""Digital Forensics""}",True,2026-09-04 03:25:00,2026-09-04 03:25:00
b495db4e-8245-6fb4-4ab7-706eb77350ca,eec259dc-7f95-897c-276a-a6ced50755d9,Bachelor of Computer Science (Software Development),Swinburne University of Technology (INTI International College Subang),3.6,December 2027,3,0,4,1,Web Developer,"{""UI/UX""}",True,2026-08-02 00:35:00,2026-08-02 00:35:00
2303f6c6-d69d-42f1-ae4c-84ffa8c01f05,c478f6f1-b88e-c318-c16d-83edad81f8bd,Bachelor of Computer Science (Artificial Intelligence),Swinburne University of Technology (INTI International College Subang),2.43,June 2027,3,0,2,0,Data Scientist,"{""Artificial Intelligence""}",True,2026-08-26 10:08:00,2026-08-26 10:08:00
